Financial Year,Quarter Ending,HSC Trust,Hospital,Programme of Care,Specialty,Total Available Beds,Average Available Beds,Total Occupied Beds,Average Occupied Beds,Total Inpatients,Total Day Case,Elective Inpatient,Non Elective Inpatient,Day Case,Regular Attenders
2012-2013,31-Mar-13,Southern,Lurgan,Elderly Care,Geriatric Medicine,"4,592",12.6,"4,390",12,206,0,0,0,0,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Ear Nose Throat,0,0,0,0,2,78,2,0,78,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Gastroenterology,0,0,0,0,3,382,2,1,382,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,General Practice Other,0,0,0,0,0,185,0,0,185,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,General Surgery,0,0,0,0,3,952,3,0,952,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Gynaecology,0,0,0,0,1,99,1,0,99,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Ophthalmology,0,0,0,0,0,88,0,0,88,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Pain Management,0,0,0,0,1,204,1,0,204,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Trauma & Orthopaedics Surgery,0,0,0,0,1,25,1,0,25,0
2012-2013,31-Mar-13,Southern,South Tyrone,Acute Services,Urology,0,0,0,0,2,50,2,0,50,0
2012-2013,31-Mar-13,Southern,South Tyrone,Elderly Care,Geriatric Medicine,"4,050",11.1,"3,825",10.5,141,0,0,0,0,0
2012-2013,31-Mar-13,Southern,St Lukes,Elderly Care,Old Age Psychiatry,"2,160",5.9,"2,039",5.6,33,0,0,0,0,0
2012-2013,31-Mar-13,Southern,St Lukes,Mental Health,Mental Illness,"3,180",8.7,"2,476",6.8,75,0,0,0,0,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Anaesthetics,991,2.7,707,1.9,28,0,1,27,0,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Cardiology,"2,021",5.5,"1,676",4.6,529,110,29,500,110,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Clinical Oncology,0,0,0,0,0,485,0,0,84,401
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Dermatology,443,1.2,358,1,50,1,40,10,1,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Ear Nose Throat,935,2.6,823,2.3,426,148,298,128,148,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,General Medicine,"13,054",35.8,"11,576",31.7,"1,912","1,720",74,"1,838","1,711",9
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,General Practice Other,0,0,0,0,1,193,1,0,193,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,General Surgery,"5,717",15.7,"5,412",14.8,"1,238",363,316,922,363,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Gynaecology,"1,136",3.1,709,1.9,346,156,230,116,156,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Haematology Clinical,639,1.8,570,1.6,63,616,7,56,401,215
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Nephrology,175,0.5,175,0.5,25,"2,332",4,21,2,"2,330"
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Neurology,0,0,0,0,0,35,0,0,35,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Ophthalmology,159,0.4,78,0.2,36,746,15,21,746,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Oral Surgery,355,1,212,0.6,132,552,76,56,552,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Paediatrics,"4,886",13.4,"2,078",5.7,992,56,51,941,56,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Pain Management,0,0,0,0,0,118,0,0,118,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Palliative Medicine,1,0,1,0,1,0,0,1,0,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Radiology,0,0,0,0,0,24,0,0,24,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Trauma & Orthopaedics Surgery,"3,483",9.5,"3,140",8.6,633,95,253,380,95,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Acute Services,Urology,882,2.4,776,2.1,259,588,197,62,588,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Elderly Care,Geriatric Medicine,"3,288",9,"3,217",8.8,301,0,0,0,0,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Maternity & Child Health,Obstetrics,"3,419",9.4,"1,629",4.5,697,0,0,0,0,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Maternity & Child Health,Well Babies Paed,983,2.7,983,2.7,590,0,0,0,0,0
2012-2013,31-Mar-13,Western,Altnagelvin Area,Mental Health,Mental Illness,0,0,0,0,0,14,0,0,0,0
2012-2013,31-Mar-13,Western,Gransha,Elderly Care,Old Age Psychiatry,"1,620",4.4,780,2.1,3,0,0,0,0,0
2012-2013,31-Mar-13,Western,Gransha,Mental Health,Mental Illness,"3,960",10.8,"3,326",9.1,103,0,0,0,0,0
2012-2013,31-Mar-13,Western,Lakeview,Learning Disability,Learning Disability,"2,160",5.9,"1,355",3.7,28,0,0,0,0,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,Cardiology,833,2.3,692,1.9,173,10,9,164,10,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,General Medicine,"6,022",16.5,"5,561",15.2,"1,127",328,27,"1,100",328,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,General Practice Other,0,0,0,0,2,59,2,0,59,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,General Surgery,"3,761",10.3,"2,887",7.9,767,531,188,579,531,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,Gynaecology,682,1.9,342,0.9,192,176,99,93,176,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,Ophthalmology,0,0,0,0,0,52,0,0,52,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,Paediatrics,"1,691",4.6,928,2.5,529,1,21,508,1,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,Pain Management,0,0,0,0,0,2,0,0,2,0
2012-2013,31-Mar-13,Western,South West Acute,Acute Services,Rehabilitation,74,0.2,74,0.2,4,0,0,4,0,0
2012-2013,31-Mar-13,Western,South West Acute,Elderly Care,Geriatric Medicine,"4,746",13,"4,663",12.8,266,0,0,0,0,0
2012-2013,31-Mar-13,Western,South West Acute,Maternity & Child Health,Obstetrics,"1,488",4.1,940,2.6,408,0,0,0,0,0
2012-2013,31-Mar-13,Western,South West Acute,Maternity & Child Health,Well Babies Paed,506,1.4,506,1.4,297,0,0,0,0,0
2012-2013,31-Mar-13,Western,Tyrone and Fermanagh,Elderly Care,Old Age Psychiatry,"3,600",9.9,"3,394",9.3,33,0,0,0,0,0
2012-2013,31-Mar-13,Western,Tyrone and Fermanagh,Mental Health,Mental Illness,"4,497",12.3,"4,274",11.7,137,0,0,0,0,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Cardiology,360,1,52,0.1,636,17,2,634,17,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Clinical Oncology,0,0,0,0,0,23,0,0,23,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Ear Nose Throat,0,0,0,0,1,60,1,0,60,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,General Medicine,0,0,0,0,0,44,0,0,44,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,General Surgery,0,0,0,0,0,856,0,0,856,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Gynaecology,0,0,0,0,0,66,0,0,66,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Nephrology,2,0,2,0,1,"2,787",0,1,0,"2,787"
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Ophthalmology,0,0,0,0,0,179,0,0,179,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Pain Management,0,0,0,0,1,129,1,0,129,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Palliative Medicine,883,2.4,720,2,36,0,10,26,0,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Rehabilitation,"2,262",6.2,"2,262",6.2,120,2,4,116,2,0
2012-2013,31-Mar-13,Western,Tyrone County,Acute Services,Urology,0,0,0,0,3,180,3,0,180,0
2012-2013,31-Mar-13,Western,Tyrone County,Elderly Care,Geriatric Medicine,478,1.3,0,0,0,0,0,0,0,0
2012-2013,31-Mar-13,Western,Waterside,Elderly Care,Geriatric Medicine,"4,320",11.8,"4,616",12.6,148,0,0,0,0,0
2012-2013,31-Mar-13,Western,Waterside,Elderly Care,Old Age Psychiatry,"1,620",4.4,"1,311",3.6,15,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Beechcroft,Mental Health,Child & Adolescent Psychiatry,"2,821",7.7,"2,915",8,27,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Anaesthetics,0,0,0,0,0,43,0,0,43,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Cardiology,"2,834",7.8,"1,787",4.9,619,268,132,487,268,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Clinical Oncology,135,0.4,135,0.4,36,0,0,36,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Dermatology,791,2.2,597,1.6,43,0,31,12,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Ear Nose Throat,0,0,0,0,1,0,0,1,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Endocrinology,39,0.1,39,0.1,0,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Gastroenterology,891,2.4,891,2.4,147,738,42,105,738,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,General Medicine,"6,814",18.7,"5,085",13.9,760,65,13,747,65,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,General Surgery,"4,176",11.4,"3,130",8.6,611,340,313,298,340,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Gynaecology,"2,089",5.7,"1,360",3.7,403,160,319,84,160,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Haematology Clinical,"2,973",8.1,"2,845",7.8,122,56,43,79,56,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Medical Oncology,89,0.2,89,0.2,34,1,3,31,0,1
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Nephrology,"5,429",14.9,"3,341",9.2,264,"7,610",197,67,120,"7,490"
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Neurology,0,0,0,0,1,0,0,1,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Pain Management,230,0.6,30,0.1,6,106,6,0,106,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Plastic Surgery,8,0,8,0,10,1,10,0,1,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Radiology,0,0,0,0,0,5,0,0,5,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Rheumatology,0,0,0,0,1,0,0,1,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Thoracic Medicine,"3,777",10.3,"1,981",5.4,231,152,96,135,152,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Thoracic Surgery,56,0.2,56,0.2,12,0,10,2,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Trauma & Orthopaedics Surgery,0,0,0,0,5,0,0,5,0,0
2013-2014,30-Jun-13,Belfast,Belfast City,Acute Services,Urology,"3,278",9,"2,768",7.6,719,"1,368",536,183,"1,368",0
2013-2014,30-Jun-13,Belfast,Belfast City,Elderly Care,Geriatric Medicine,"8,445",23.1,"6,541",17.9,415,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Knockbracken,Elderly Care,Old Age Psychiatry,"1,820",5,"1,123",3.1,3,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Knockbracken,Mental Health,Forensic Psychiatry,"3,094",8.5,"3,094",8.5,5,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Knockbracken,Mental Health,Mental Illness,"10,192",27.9,"10,245",28.1,58,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Accident & Emergency,373,1,100,0.3,209,0,0,209,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Cardiology,"1,688",4.6,"1,609",4.4,311,21,4,307,21,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Endocrinology,576,1.6,576,1.6,97,0,1,96,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Gastroenterology,"1,038",2.8,"1,038",2.8,147,254,31,116,254,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,General Medicine,"5,782",15.8,"5,024",13.8,842,199,2,840,199,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,General Practice Other,0,0,0,0,0,112,0,0,112,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,General Surgery,"3,372",9.2,"3,178",8.7,627,331,147,480,331,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Gynaecology,0,0,0,0,5,316,3,2,316,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Ophthalmology,91,0.2,91,0.2,4,950,2,2,950,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Oral Surgery,0,0,0,0,0,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Pain Management,0,0,0,0,0,91,0,0,91,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Thoracic Medicine,"2,252",6.2,"2,252",6.2,247,4,9,238,4,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Acute Services,Urology,0,0,0,0,0,82,0,0,82,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Elderly Care,Geriatric Medicine,"1,313",3.6,"1,217",3.3,116,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Elderly Care,Old Age Psychiatry,"1,266",3.5,"1,266",3.5,15,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Maternity & Child Health,Obstetrics,"1,796",4.9,112,0.3,103,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Maternity & Child Health,Well Babies Obs,310,0.8,65,0.2,84,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Mater Infirmorum,Mental Health,Mental Illness,"3,850",10.5,"3,774",10.3,90,5,0,0,0,0
2013-2014,30-Jun-13,Belfast,Muckamore Abbey,Learning Disability,Learning Disability,"17,605",48.2,"16,841",46.1,47,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Acute Services,Dermatology,0,0,0,0,0,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Acute Services,Neurology,"2,093",5.7,"1,877",5.1,100,3,97,3,3,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Acute Services,Pain Management,0,0,0,0,6,164,6,0,164,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Acute Services,Rehabilitation,"4,368",12,"3,573",9.8,78,390,37,41,390,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Acute Services,Rheumatology,"1,194",3.3,930,2.5,114,36,63,51,36,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Acute Services,Trauma & Orthopaedics Surgery,"8,260",22.6,"6,230",17.1,"1,379",967,"1,303",76,967,0
2013-2014,30-Jun-13,Belfast,Musgrave Park,Elderly Care,Geriatric Medicine,"6,188",17,"5,624",15.4,170,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,NI Cancer Centre,Acute Services,Clinical Oncology,"3,770",10.3,"3,770",10.3,395,"1,355",184,211,"1,355",0
2013-2014,30-Jun-13,Belfast,NI Cancer Centre,Acute Services,Dermatology,3,0,3,0,1,0,0,1,0,0
2013-2014,30-Jun-13,Belfast,NI Cancer Centre,Acute Services,Haematology Clinical,752,2.1,752,2.1,120,"1,457",23,97,"1,457",0
2013-2014,30-Jun-13,Belfast,NI Cancer Centre,Acute Services,Medical Oncology,"1,654",4.5,"1,359",3.7,183,"1,464",34,149,"1,464",0
2013-2014,30-Jun-13,Belfast,NI Cancer Centre,Acute Services,Radiology,7,0,7,0,4,0,4,0,0,0
2013-2014,30-Jun-13,Belfast,NI Cancer Centre,Acute Services,Thoracic Medicine,2,0,2,0,0,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Anaesthetics,765,2.1,588,1.6,19,0,3,16,0,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Cardiology,648,1.8,648,1.8,95,23,61,34,23,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Dermatology,0,0,0,0,0,1,0,0,1,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Ear Nose Throat,63,0.2,63,0.2,37,45,19,18,45,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Endocrinology,0,0,0,0,1,4,1,0,4,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Haematology Clinical,314,0.9,314,0.9,52,307,48,4,307,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Infectious Diseases,0,0,0,0,0,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Medical Oncology,350,1,350,1,67,84,62,5,84,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Nephrology,294,0.8,294,0.8,24,114,19,5,114,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Neurosurgery,161,0.4,161,0.4,30,10,11,19,10,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Ophthalmology,25,0.1,25,0.1,12,0,4,8,0,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Paediatric Dentistry,3,0,3,0,3,97,3,0,97,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Paediatric Neurology,222,0.6,222,0.6,56,10,28,28,10,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Paediatric Surgery,845,2.3,845,2.3,220,118,72,148,118,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Paediatrics,"3,234",8.9,"2,424",6.6,707,76,92,615,76,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Plastic Surgery,108,0.3,108,0.3,28,114,20,8,114,0
2013-2014,30-Jun-13,Belfast,RBHSC,Acute Services,Trauma & Orthopaedics Surgery,704,1.9,704,1.9,232,31,53,179,31,0
2013-2014,30-Jun-13,Belfast,Royal Maternity,Acute Services,Paediatrics,"4,095",11.2,"2,439",6.7,124,0,0,124,0,0
2013-2014,30-Jun-13,Belfast,Royal Maternity,Maternity & Child Health,Obstetrics,"4,277",11.7,"4,349",11.9,"1,805",348,0,0,0,0
2013-2014,30-Jun-13,Belfast,Royal Maternity,Maternity & Child Health,Well Babies Paed,"2,730",7.5,"1,472",4,"1,078",0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Accident & Emergency,945,2.6,632,1.7,778,6,0,778,6,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Anaesthetics,"2,373",6.5,"2,072",5.7,72,0,7,65,0,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Cardiac Surgery,"3,775",10.3,"2,844",7.8,268,0,193,75,0,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Cardiology,"4,942",13.5,"3,877",10.6,"1,017",423,448,569,423,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Dermatology,0,0,0,0,0,75,0,0,75,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Ear Nose Throat,"2,415",6.6,"1,755",4.8,544,564,416,128,564,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Endocrinology,"1,127",3.1,999,2.7,158,35,48,110,35,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Gastroenterology,"4,206",11.5,"3,738",10.2,473,"1,372",68,405,"1,372",0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,General Medicine,"10,369",28.4,"9,324",25.5,"1,512",458,28,"1,484",458,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,General Surgery,"8,126",22.3,"6,698",18.4,"1,170",546,464,706,546,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Genito-Urinary Medicine,55,0.2,55,0.2,6,0,0,6,0,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Gynaecology,0,0,0,0,0,2,0,0,2,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Infectious Diseases,357,1,305,0.8,0,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Neurology,"2,035",5.6,"2,032",5.6,197,240,100,97,240,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Neurosurgery,"3,038",8.3,"3,003",8.2,351,60,204,147,60,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Ophthalmology,"1,854",5.1,805,2.2,266,"1,629",172,94,"1,629",0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Oral Surgery,236,0.6,81,0.2,14,15,14,0,15,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Orthodontics,0,0,0,0,1,0,1,0,0,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Plastic Surgery,569,1.6,455,1.2,54,66,37,17,66,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Radiology,0,0,0,0,1,40,0,1,40,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Restorative Dentistry,0,0,0,0,10,9,10,0,9,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Thoracic Medicine,0,0,0,0,485,6,6,479,6,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Thoracic Surgery,"1,355",3.7,"1,116",3.1,195,96,146,49,96,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Acute Services,Trauma & Orthopaedics Surgery,"8,317",22.8,"7,970",21.8,933,50,167,766,50,0
2013-2014,30-Jun-13,Belfast,Royal Victoria,Elderly Care,Geriatric Medicine,"2,283",6.3,"2,157",5.9,447,0,0,0,0,0
2013-2014,30-Jun-13,Belfast,School of Dentistry,Acute Services,Restorative Dentistry,0,0,0,0,0,41,0,0,41,0
2013-2014,30-Jun-13,Belfast,Windsor House,Mental Health,Mental Illness,61,0.2,61,0.2,1,0,0,0,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Accident & Emergency,514,1.4,262,0.7,39,0,0,39,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Anaesthetics,475,1.3,395,1.1,16,0,0,16,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Cardiology,"3,204",8.8,"2,791",7.6,668,52,10,658,51,1
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Chemical Pathology,6,0,6,0,2,0,0,2,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Clinical Oncology,0,0,0,0,0,455,0,0,19,436
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Dermatology,13,0,13,0,1,0,0,1,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Ear Nose Throat,627,1.7,601,1.6,356,174,231,125,174,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Endocrinology,0,0,0,0,108,0,3,105,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Gastroenterology,"1,275",3.5,"1,215",3.3,185,332,26,159,331,1
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,General Medicine,"9,894",27.1,"8,974",24.6,"1,365",0,19,"1,346",0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,General Practice Other,0,0,0,0,0,63,0,0,63,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,General Surgery,"6,399",17.5,"5,776",15.8,"1,103",367,255,848,367,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Gynaecology,820,2.2,773,2.1,290,249,171,119,249,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Haematology Clinical,329,0.9,317,0.9,45,414,31,14,26,388
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Infectious Diseases,42,0.1,0,0,0,0,0,0,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Medical Oncology,0,0,0,0,0,270,0,0,23,247
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Nephrology,"2,638",7.2,886,2.4,84,"4,465",56,28,1,"4,464"
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Oral Surgery,0,0,0,0,0,4,0,0,4,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Paediatrics,"3,191",8.7,"2,026",5.6,850,0,21,829,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Palliative Medicine,"1,072",2.9,884,2.4,71,0,21,50,0,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Rheumatology,63,0.2,39,0.1,12,221,10,2,221,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Thoracic Medicine,"4,056",11.1,"3,946",10.8,588,74,29,559,74,0
2013-2014,30-Jun-13,Northern,Antrim,Acute Services,Urology,0,0,0,0,2,0,2,0,0,0
2013-2014,30-Jun-13,Northern,Antrim,Elderly Care,Geriatric Medicine,"2,363",6.5,"2,312",6.3,370,0,0,0,0,0
2013-2014,30-Jun-13,Northern,Antrim,Maternity & Child Health,Obstetrics,"3,110",8.5,"2,152",5.9,839,0,0,0,0,0
2013-2014,30-Jun-13,Northern,Antrim,Maternity & Child Health,Well Babies Obs,"2,572",7,981,2.7,576,0,0,0,0,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Accident & Emergency,0,0,0,0,29,0,0,29,0,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Anaesthetics,177,0.5,117,0.3,2,0,0,2,0,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Cardiology,"1,861",5.1,"1,783",4.9,281,1,8,273,1,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Dermatology,0,0,0,0,0,112,0,0,112,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Ear Nose Throat,0,0,0,0,0,60,0,0,60,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Endocrinology,23,0.1,23,0.1,8,0,1,7,0,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Gastroenterology,94,0.3,94,0.3,16,298,3,13,298,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,General Medicine,"4,935",13.5,"4,501",12.3,770,3,8,762,3,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,General Practice Other,0,0,0,0,1,111,1,0,111,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,General Surgery,"3,386",9.3,"2,937",8,637,604,189,448,604,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Gynaecology,549,1.5,435,1.2,166,167,94,72,167,0
2013-2014,30-Jun-13,Northern,Causeway,Acute Services,Haematology Clinical,0,0,0,0,0,33,0,0,33,0
